Time Recorded,Total Apps,Store Entry Used,,,
12/9/2016 13:30,518,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,
,,,,,
Steam App ID,Game Name,Price,Release Date,Review Percentage,Review Count
532260,The Walk,4.99,23-Sep-16,50%,14
500140,Wildlife VR,2.99,16-Jul-16,40%,5
433650,Book Of Merlin,2.99,22-Jul-16,53%,26
526750,The Gleam: VR Escape the Room,3.99,14-Oct-16,42%,7
553450,The Purge Day,2.99,25-Nov-16,66%,3
495320,Ancient VR coaster,1.99,4-Jul-16,36%,11
526090,Very Real Chess,0.99,11-Nov-16,0%,1
542750,PIRATADO 1,0.99,18-Oct-16,0%,1
447100,XLR,4.99,5-Apr-16,53%,13
450360,Wevr Transport,0,5-Apr-16,38%,21
407710,The Grand Canyon VR Experience,4.99,9-Oct-15,56%,39
432850,Sisters,0,Jun-16,0%,0
453000,TheWave,0,1-Nov-16,0%,0
445050,Paintey,9.99,18-Apr-16,0%,0
455720,Dolphin Defense,9.99,16-May-16,66%,6
457870,Minigame Party VR,4.99,5-Apr-16,50%,2
456420,Gunslinger Trainer,3.99,5-Apr-16,25%,8
456570,Muv-Luv VR,0,16-Jun-16,52%,38
456420,Gunslinger Trainer,3.99,5-Apr-16,25%,8
456570,Muv-Luv VR,0,16-Jun-16,52%,38
464440,Annie Amber,7.99,17-Jun-16,61%,18
450360,Wevr Transport,0,5-Apr-16,38%,21
445050,Paintey,9.99,18-Apr-16,0%,0
447100,XLR,4.99,5-Apr-16,53%,13
455720,Dolphin Defense,9.99,16-May-16,66%,6
513150,Daylight's End VR Edition,0,26-Aug-16,44%,25
512710,Tesla VR,0,10-Aug-16,33%,9
512410,69 Ways to Kill a Zombie,19.99,9-Sep-16,40%,5
426250,Periodonica,0,6-May-16,16%,6
513420,VR Escape the space station,6.99,24-Aug-16,67%,31
503390,Roomscale Tower,14.99,26-Jul-16,56%,16
503410,Zombie Camp,1.99,31-Jul-16,69%,13
496950,The Slingshot VR,4.99,6-Jul-16,25%,8
497300,Always Higher,7.99,21-Jul-16,28%,7
496230,Watching Grass Grow In VR - The Game,4.99,21-Aug-16,50%,4
496070,Geo-Fall,4.99,23-Jul-16,0%,0
498510,DreamLand,0,7-Jul-16,60%,50
509340,Abandoned Hospital VR,5.99,3-Aug-16,66%,3
495300,TrumPiata,0.99,22-Jul-16,58%,24
495390,The Wire Loop Game VR,7.99,8-Aug-16,57%,7
494380,VR Boxing Workout,7.99,10-Jul-16,33%,3
495060,Table Tennis VR,4.99,6-Jul-16,8%,12
496000,BowMage,9.99,26-Sep-16,66%,3
503390,Roomscale Tower,14.99,26-Jul-16,56%,16
503410,Zombie Camp,1.99,31-Jul-16,69%,13
502480,VoxVR,0,Nov-16,0%,0
491710,Gun Range VR,1.99,12-Jul-16,0%,5
494380,VR Boxing Workout,7.99,10-Jul-16,33%,3
495060,Table Tennis VR,4.99,6-Jul-16,8%,12
495300,TrumPiata,0.99,22-Jul-16,58%,24
495390,The Wire Loop Game VR,7.99,8-Aug-16,57%,7
493040,Beat Ninja,19.99,12-Jul-16,33%,6
500920,House of Alice,9.99,11-Jul-16,0%,1
500930,Football VR,0.99,14-Jul-16,0%,2
501060,C.S.S. CITADEL VR,7.99,15-Jul-16,0%,6
500660,Limberjack,0,1-Sep-16,55%,18
513150,Daylight's End VR Edition,0,26-Aug-16,44%,25
513420,VR Escape the space station,6.99,24-Aug-16,67%,31
512710,Tesla VR,0,10-Aug-16,33%,9
426250,Periodonica,0,6-May-16,16%,6
506570,Going Up,9.99,1-Aug-16,66%,3
506960,Pong Champion VR,9.99,26-Jul-16,50%,6
507210,The Wire,0,30-Jul-16,66%,9
505220,King of Spin VR,29.99,5-Sep-16,62%,8
509340,Abandoned Hospital VR,5.99,3-Aug-16,66%,3
511420,Aleph Null,3.99,15-Aug-16,0%,0
511600,Space Jones VR,15.99,11-Aug-16,66%,12
511830,"VR Ultimate Paintball: Heartbreak, Regret & Paintbots",4.99,9-Aug-16,60%,5
501060,C.S.S. CITADEL VR,7.99,15-Jul-16,0%,6
500660,Limberjack,0,1-Sep-16,55%,18
494380,VR Boxing Workout,7.99,10-Jul-16,33%,3
506570,Going Up,9.99,1-Aug-16,66%,3
502480,VoxVR,0,Nov-16,0%,0
505220,King of Spin VR,29.99,5-Sep-16,62%,8
506960,Pong Champion VR,9.99,26-Jul-16,50%,6
507210,The Wire,0,30-Jul-16,66%,9
512710,Tesla VR,0,10-Aug-16,33%,9
511830,"VR Ultimate Paintball: Heartbreak, Regret & Paintbots",4.99,9-Aug-16,60%,5
512410,69 Ways to Kill a Zombie,19.99,9-Sep-16,40%,5
516610,Guardian war VR,9.99,24-Aug-16,25%,4
518110,Ahros: One Warrior Chronicle,19.99,29-Sep-16,42%,7
513150,Daylight's End VR Edition,0,26-Aug-16,44%,25
517990,City VR,14.99,26-Sep-16,50%,12
448980,The Divergent Series: Allegiant VR,0,17-Mar-16,65%,79
519170,The Journey Home,0,22-Aug-16,52%,17
517770,Caketomino,4.99,2-Sep-16,0%,0
509340,Abandoned Hospital VR,5.99,3-Aug-16,66%,3
511420,Aleph Null,3.99,15-Aug-16,0%,0
511600,Space Jones VR,15.99,11-Aug-16,66%,12
426250,Periodonica,0,6-May-16,16%,6
513420,VR Escape the space station,6.99,24-Aug-16,67%,31
529260,Robot Incursion,15.99,21-Nov-16,66%,3
529280,TEOT - The End OF Tomorrow,3.99,30-Sep-16,63%,11
529820,Beyond Power VR,3.99,30-Sep-16,50%,2
529940,ShowdownVR,14.99,19-Sep-16,66%,3
521860,Lop Nor Zombie VR (HTC Vive),2.99,30-Sep-16,68%,25
526550,PitchFork,14.99,29-Sep-16,60%,5
525950,JUST BAT (VR CRICKET),4.99,12-Sep-16,57%,7
526960,Fair Islands VR,9.99,14-Sep-16,0%,4
536800,FILE 9,14.99,30-Sep-16,50%,2
537060,MagixHome VR,0,3-Nov-16,25%,4
538660,Staircase of Darkness: VR,4.99,3-Nov-16,60%,15
538490,Shatter Quest,14.99,11-Oct-16,33%,3
517020,Virtual Warfighter,24.99,2-Sep-16,54%,31
542670,Extreme Skiing VR,7.99,24-Oct-16,16%,6
543120,HandPass VR,10.99,24-Nov-16,0%,1
542360,Where's the Fck*ng Light - VR,0,Nov-16,0%,0
546030,Fatal Gem VR(The First Match-3 VR Game),9.99,23-Nov-16,50%,4
494350,Bowl VR,6.99,24-Jun-16,50%,12
534430,Arcade Artist,8.99,19-Oct-16,66%,6
