Time Recorded,Total Apps,Store Entry Used,,,,,,,,,,,,
2/22/2018 11:25,1613,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,,,,,,,,,,
,,,,,,,,,,,,,,
Steam App ID,Game Name,Price,Release Date,Positive Review Percentage,Reviews Count,Developer,Publisher,Genre,Category,Tags,Peak User Yesterday,Number of Owners,Number of Players,Percentage of Actual Players in the Owners
457960,Holopoint,14.99,4-Apr-16,92%,624,"Alzan Studios, LLC","Alzan Studios, LLC","Action, Indie, Simulation, Sports","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards","Action (23), Simulation (23), Sports (23), Indie (22), VR (16)",5,53201 +/- 7096,50232 +/- 6895,94.42%
646200,Dead Effect 2 VR,24.99,3-Oct-17,87%,527,"BadFly Interactive, a.s.","BadFly Interactive, a.s.","Violent, Gore, Action, Indie, RPG","Single-player, Multi-player, Co-op, Steam Achievements","Action (23), Violent (22), Gore (22), Indie (22), RPG (21), VR (10)",10,22518 +/- 4617,19053 +/- 4247,84.61%
705100,Marshmallow Melee,14.99,6-Oct-17,93%,60,TriHelix LLC,TriHelix LLC,"Action, Adventure, Indie, RPG, Strategy, Early Access",Single-player,"Early Access (36), Strategy (32), Adventure (31), Indie (31), Action (21), RPG (21), VR (15), Dungeon Crawler (10), Rogue-lite (10)",2,1237 +/- 1082,990 +/- 968,80.03%
525680,Deisim,7.99,19-Dec-16,90%,103,Myron Software,Myron Software,"Indie, Simulation, Strategy, Early Access","Single-player, Steam Achievements","Early Access (40), Simulation (36), Strategy (34), Indie (34), God Game (26), VR (18), Sandbox (18), Resource Management (13), Relaxing (12), Top-Down (12), Puzzle (11), Difficult (11), VR Only (1)",2,3959 +/- 1936,3217 +/- 1745,81.26%
465240,Serious Sam VR: The Last Hope,39.99,20-Sep-17,87%,772,Croteam VR,"Devolver Digital, Croteam","Violent, Gore, Action, Indie","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, SteamVR Collectibles","Action (32), Gore (28), VR (25), Indie (24), Violent (20), FPS (10), Shooter (9), Singleplayer (8)",143,48994 +/- 6810,38354 +/- 6025,78.28%
552080,IronWolf VR,19.99,13-Mar-17,98%,289,Ionized Studios,Ionized Studios,"Action, Indie, Simulation, Early Access","Single-player, Multi-player, Online Multi-Player, Local Multi-Player, Co-op, Online Co-op, Local Co-op","Early Access (31), Simulation (28), Action (25), Indie (24), VR (16), Naval (11), VR Only (1)",5,12125 +/- 3388,10888 +/- 3210,89.80%
467660,Paranormal Activity: The Lost Soul,39.99,15-Aug-17,80%,319,VRWERX,VRWERX,"Violent, Gore, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud","Gore (37), VR (36), Adventure (34), Horror (32), RPG (31), Violent (25), Survival Horror (19), Singleplayer (15), Indie (14), Psychological Horror (5)",5,15837 +/- 3872,14599 +/- 3717,92.18%
530120,VR The Diner Duo,14.99,2-Nov-16,97%,278,Whirlybird Games,Whirlybird Games,"Casual, Indie, Simulation","Single-player, Local Multi-Player, Local Co-op, Shared/Split Screen, Partial Controller Support","Indie (24), Casual (22), Simulation (22), VR (17), Local Multiplayer (7)",8,17074 +/- 4020,16331 +/- 3932,95.65%
641960,BOXVR,19.99,13-Jun-17,96%,148,FitXR,FitXR,"Action, Casual, Indie, Sports, Early Access","Single-player, Steam Leaderboards","Early Access (37), Sports (33), Indie (31), Action (20), Casual (20), VR (18), Rhythm (11), Music-Based Procedural Generation (10), Music (10), VR Only (1)",10,3217 +/- 1745,2969 +/- 1676,92.29%
412050,HordeZ,16.99,29-Apr-16,85%,357,Zenz VR,Zenz VR,"Violent, Gore, Action, Indie","Single-player, Multi-player, Online Multi-Player, Local Multi-Player, Co-op, Online Co-op, Local Co-op, VR Support, Stats, Steam Leaderboards","Action (48), Indie (47), FPS (27), Horror (25), VR (25), Shooter (25), Gore (24), On-Rails Shooter (24), Zombies (23), Adventure (23), Casual (23), Twin Stick Shooter (23), Sci-fi (23), Atmospheric (23), Violent (22), Action-Adventure (11), Multiplayer (5)",37,23507 +/- 4717,21033 +/- 4462,89.48%
